Image Name,Width,Height,Area,Perimeter,Saved Path
0001.jpg,452,338,152776,1580,BB_output\0001.jpg
0002.jpg,452,338,152776,1580,BB_output\0002.jpg
0003.jpg,452,338,152776,1580,BB_output\0003.jpg
0004.jpg,452,337,152324,1578,BB_output\0004.jpg
0005.jpg,452,338,152776,1580,BB_output\0005.jpg
0006.jpg,452,338,152776,1580,BB_output\0006.jpg
0007.jpg,452,338,152776,1580,BB_output\0007.jpg
0008.jpg,452,338,152776,1580,BB_output\0008.jpg
0009.jpg,452,338,152776,1580,BB_output\0009.jpg
0010.jpg,452,337,152324,1578,BB_output\0010.jpg
0011.jpg,452,338,152776,1580,BB_output\0011.jpg
0012.jpg,452,338,152776,1580,BB_output\0012.jpg
0013.jpg,452,338,152776,1580,BB_output\0013.jpg
0014.jpg,452,338,152776,1580,BB_output\0014.jpg
0015.jpg,452,337,152324,1578,BB_output\0015.jpg
0016.jpg,452,338,152776,1580,BB_output\0016.jpg
0017.jpg,452,338,152776,1580,BB_output\0017.jpg
0018.jpg,452,338,152776,1580,BB_output\0018.jpg
0019.jpg,452,338,152776,1580,BB_output\0019.jpg
0020.jpg,452,338,152776,1580,BB_output\0020.jpg
0021.jpg,452,337,152324,1578,BB_output\0021.jpg
0022.jpg,452,337,152324,1578,BB_output\0022.jpg
0023.jpg,452,338,152776,1580,BB_output\0023.jpg
0024.jpg,452,337,152324,1578,BB_output\0024.jpg
0025.jpg,452,337,152324,1578,BB_output\0025.jpg
0026.jpg,452,338,152776,1580,BB_output\0026.jpg
0027.jpg,452,337,152324,1578,BB_output\0027.jpg
0028.jpg,452,338,152776,1580,BB_output\0028.jpg
0029.jpg,452,338,152776,1580,BB_output\0029.jpg
0030.jpg,452,338,152776,1580,BB_output\0030.jpg
0031.jpg,452,338,152776,1580,BB_output\0031.jpg
0032.jpg,452,338,152776,1580,BB_output\0032.jpg
0033.jpg,452,337,152324,1578,BB_output\0033.jpg
0034.jpg,452,338,152776,1580,BB_output\0034.jpg
0035.jpg,452,338,152776,1580,BB_output\0035.jpg
0036.jpg,452,337,152324,1578,BB_output\0036.jpg
0037.jpg,452,338,152776,1580,BB_output\0037.jpg
0038.jpg,452,338,152776,1580,BB_output\0038.jpg
0039.jpg,452,338,152776,1580,BB_output\0039.jpg
0040.jpg,452,338,152776,1580,BB_output\0040.jpg
0041.jpg,452,338,152776,1580,BB_output\0041.jpg
0042.jpg,452,338,152776,1580,BB_output\0042.jpg
0043.jpg,452,338,152776,1580,BB_output\0043.jpg
0044.jpg,452,338,152776,1580,BB_output\0044.jpg
0045.jpg,452,338,152776,1580,BB_output\0045.jpg
0046.jpg,452,338,152776,1580,BB_output\0046.jpg
0047.jpg,452,338,152776,1580,BB_output\0047.jpg
0048.jpg,452,337,152324,1578,BB_output\0048.jpg
0049.jpg,452,338,152776,1580,BB_output\0049.jpg
0050.jpg,452,338,152776,1580,BB_output\0050.jpg
0051.jpg,452,338,152776,1580,BB_output\0051.jpg
0052.jpg,452,337,152324,1578,BB_output\0052.jpg
0053.jpg,452,338,152776,1580,BB_output\0053.jpg
0054.jpg,452,337,152324,1578,BB_output\0054.jpg
0055.jpg,452,338,152776,1580,BB_output\0055.jpg
0056.jpg,452,338,152776,1580,BB_output\0056.jpg
0057.jpg,452,338,152776,1580,BB_output\0057.jpg
0058.jpg,452,338,152776,1580,BB_output\0058.jpg
0059.jpg,452,338,152776,1580,BB_output\0059.jpg
0060.jpg,452,338,152776,1580,BB_output\0060.jpg
0061.jpg,452,337,152324,1578,BB_output\0061.jpg
0062.jpg,452,338,152776,1580,BB_output\0062.jpg
0063.jpg,452,338,152776,1580,BB_output\0063.jpg
0064.jpg,452,338,152776,1580,BB_output\0064.jpg
0065.jpg,452,338,152776,1580,BB_output\0065.jpg
0066.jpg,452,338,152776,1580,BB_output\0066.jpg
0067.jpg,452,338,152776,1580,BB_output\0067.jpg
0068.jpg,452,338,152776,1580,BB_output\0068.jpg
0069.jpg,452,338,152776,1580,BB_output\0069.jpg
0070.jpg,452,338,152776,1580,BB_output\0070.jpg
0071.jpg,452,338,152776,1580,BB_output\0071.jpg
0072.jpg,452,337,152324,1578,BB_output\0072.jpg
0073.jpg,452,338,152776,1580,BB_output\0073.jpg
0074.jpg,452,338,152776,1580,BB_output\0074.jpg
0075.jpg,452,338,152776,1580,BB_output\0075.jpg
0076.jpg,452,338,152776,1580,BB_output\0076.jpg
0077.jpg,452,338,152776,1580,BB_output\0077.jpg
0078.jpg,452,337,152324,1578,BB_output\0078.jpg
0079.jpg,452,338,152776,1580,BB_output\0079.jpg
0080.jpg,452,338,152776,1580,BB_output\0080.jpg
0081.jpg,452,337,152324,1578,BB_output\0081.jpg
0082.jpg,452,338,152776,1580,BB_output\0082.jpg
0083.jpg,452,338,152776,1580,BB_output\0083.jpg
0084.jpg,452,337,152324,1578,BB_output\0084.jpg
0085.jpg,452,338,152776,1580,BB_output\0085.jpg
0086.jpg,452,338,152776,1580,BB_output\0086.jpg
0087.jpg,452,337,152324,1578,BB_output\0087.jpg
0088.jpg,452,338,152776,1580,BB_output\0088.jpg
0089.jpg,452,338,152776,1580,BB_output\0089.jpg
0090.jpg,452,337,152324,1578,BB_output\0090.jpg
0091.jpg,452,337,152324,1578,BB_output\0091.jpg
0092.jpg,452,337,152324,1578,BB_output\0092.jpg
0093.jpg,452,337,152324,1578,BB_output\0093.jpg
0094.jpg,452,338,152776,1580,BB_output\0094.jpg
0095.jpg,452,338,152776,1580,BB_output\0095.jpg
0096.jpg,452,338,152776,1580,BB_output\0096.jpg
0097.jpg,452,337,152324,1578,BB_output\0097.jpg
0098.jpg,452,338,152776,1580,BB_output\0098.jpg
0099.jpg,452,338,152776,1580,BB_output\0099.jpg
0100.jpg,452,338,152776,1580,BB_output\0100.jpg
0101.jpg,452,338,152776,1580,BB_output\0101.jpg
0102.jpg,452,337,152324,1578,BB_output\0102.jpg
0103.jpg,452,337,152324,1578,BB_output\0103.jpg
0104.jpg,452,338,152776,1580,BB_output\0104.jpg
0105.jpg,452,338,152776,1580,BB_output\0105.jpg
0106.jpg,452,338,152776,1580,BB_output\0106.jpg
0107.jpg,452,337,152324,1578,BB_output\0107.jpg
0108.jpg,452,338,152776,1580,BB_output\0108.jpg
0109.jpg,452,338,152776,1580,BB_output\0109.jpg
0110.jpg,452,337,152324,1578,BB_output\0110.jpg
0111.jpg,452,338,152776,1580,BB_output\0111.jpg
0112.jpg,452,338,152776,1580,BB_output\0112.jpg
0113.jpg,452,338,152776,1580,BB_output\0113.jpg
0114.jpg,452,338,152776,1580,BB_output\0114.jpg
0115.jpg,452,338,152776,1580,BB_output\0115.jpg
0116.jpg,452,337,152324,1578,BB_output\0116.jpg
0117.jpg,452,338,152776,1580,BB_output\0117.jpg
0118.jpg,452,338,152776,1580,BB_output\0118.jpg
0119.jpg,452,338,152776,1580,BB_output\0119.jpg
0120.jpg,452,338,152776,1580,BB_output\0120.jpg
0121.jpg,452,338,152776,1580,BB_output\0121.jpg
0122.jpg,452,337,152324,1578,BB_output\0122.jpg
0123.jpg,452,338,152776,1580,BB_output\0123.jpg
0124.jpg,452,338,152776,1580,BB_output\0124.jpg
0125.jpg,452,337,152324,1578,BB_output\0125.jpg
0126.jpg,452,337,152324,1578,BB_output\0126.jpg
0127.jpg,452,338,152776,1580,BB_output\0127.jpg
0128.jpg,452,337,152324,1578,BB_output\0128.jpg
0129.jpg,452,338,152776,1580,BB_output\0129.jpg
0130.jpg,452,338,152776,1580,BB_output\0130.jpg
0131.jpg,452,338,152776,1580,BB_output\0131.jpg
0132.jpg,452,337,152324,1578,BB_output\0132.jpg
0133.jpg,452,338,152776,1580,BB_output\0133.jpg
0134.jpg,452,338,152776,1580,BB_output\0134.jpg
0135.jpg,452,338,152776,1580,BB_output\0135.jpg
0136.jpg,452,338,152776,1580,BB_output\0136.jpg
0137.jpg,452,338,152776,1580,BB_output\0137.jpg
0138.jpg,452,338,152776,1580,BB_output\0138.jpg
0139.jpg,452,337,152324,1578,BB_output\0139.jpg
0140.jpg,452,338,152776,1580,BB_output\0140.jpg
0141.jpg,452,338,152776,1580,BB_output\0141.jpg
0142.jpg,452,337,152324,1578,BB_output\0142.jpg
0143.jpg,452,338,152776,1580,BB_output\0143.jpg
0144.jpg,452,338,152776,1580,BB_output\0144.jpg
0145.jpg,452,338,152776,1580,BB_output\0145.jpg
0146.jpg,452,338,152776,1580,BB_output\0146.jpg
0147.jpg,452,338,152776,1580,BB_output\0147.jpg
0148.jpg,452,337,152324,1578,BB_output\0148.jpg
0149.jpg,452,338,152776,1580,BB_output\0149.jpg
0150.jpg,452,338,152776,1580,BB_output\0150.jpg
0151.jpg,452,338,152776,1580,BB_output\0151.jpg
0152.jpg,452,337,152324,1578,BB_output\0152.jpg
0153.jpg,452,338,152776,1580,BB_output\0153.jpg
0154.jpg,452,338,152776,1580,BB_output\0154.jpg
0155.jpg,452,338,152776,1580,BB_output\0155.jpg
0156.jpg,452,338,152776,1580,BB_output\0156.jpg
0157.jpg,452,338,152776,1580,BB_output\0157.jpg
0158.jpg,452,338,152776,1580,BB_output\0158.jpg
0159.jpg,452,338,152776,1580,BB_output\0159.jpg
0160.jpg,452,338,152776,1580,BB_output\0160.jpg
0161.jpg,452,337,152324,1578,BB_output\0161.jpg
0162.jpg,452,338,152776,1580,BB_output\0162.jpg
0163.jpg,452,337,152324,1578,BB_output\0163.jpg
0164.jpg,452,338,152776,1580,BB_output\0164.jpg
0165.jpg,452,338,152776,1580,BB_output\0165.jpg
0166.jpg,452,338,152776,1580,BB_output\0166.jpg
0167.jpg,452,338,152776,1580,BB_output\0167.jpg
